outgoing_amount,outgoing_token,Description,Invoices,Workstream,Base Compensation_Account,Per  Contractor  Expenses_Account,Project,Other  Expenses_Account,Travel & Expenses_Account
413.094696,DAI,0x4B96dc1dCb7ab529Bf75E1e3B2336C26C53637ed,"[{""name"":""40-357779446-flight-payment.pdf"",""url"":""https://utopia-receipt-upload.s3.us-west-1.amazonaws.com/next-s3-uploads/16edb741-84e3-4ee1-b10f-93a70981e625/40-357779446-flight-payment.pdf""},{""name"":""Screenshot 2023-04-24 at 11.04.12 AM.png"",""url"":""https://utopia-receipt-upload.s3.us-west-1.amazonaws.com/next-s3-uploads/ec1cb0e0-ae6c-4c77-86b4-c55394878bf4/Screenshot-2023-04-24-at-11.04.12-AM.png""}]",Product,,,,,6340 - Employee - Travel & Expense
3136.510777,DAI,Base compensation minus over reimbursed amount -866 DAI. RiseID: 0xeb8f02125D777FFBeCE010BDB73fB0f58Fe515c0,"[{""name"":""Invoice 6.pdf"",""url"":""https://utopia-receipt-upload.s3.us-west-1.amazonaws.com/next-s3-uploads/8a3f025d-0002-4f8c-9431-8f7ba423691a/Invoice-6.pdf""}]",User Interface,6100 - Base Compensation,,,,
422.1879615,DAI,0xeb8f02125D777FFBeCE010BDB73fB0f58Fe515c0,"[{""name"":""Invoice 6.pdf"",""url"":""https://utopia-receipt-upload.s3.us-west-1.amazonaws.com/next-s3-uploads/eed65fda-1c1a-4307-8e7e-8201564d4949/Invoice-6.pdf""},{""name"":""lang-invoice.pdf"",""url"":""https://utopia-receipt-upload.s3.us-west-1.amazonaws.com/next-s3-uploads/d9947f0a-9fa2-40d0-a3b0-d80aff056b5d/lang-invoice.pdf""}]",User Interface,,6330 - Employee - Continuous Education Expense,,,
8500,DAI,RiseId: 0xFd2C47E8773dCD8dBf112E264885F81277C0b870,"[{""name"":""Inv 2023-5-april.pdf"",""url"":""https://utopia-receipt-upload.s3.us-west-1.amazonaws.com/next-s3-uploads/425b06cf-67d4-4df0-8d36-9d21c88a91ed/Inv-2023-5-april.pdf""}]",Lido on Eth Protocol Eng,6100 - Base Compensation,,,,
9800,DAI,0xdE510FAA6A67Feb6121FB078b699F08cAa02111e,"[{""name"":""Lido Invoice AG 00006.pdf"",""url"":""https://utopia-receipt-upload.s3.us-west-1.amazonaws.com/next-s3-uploads/cc53505a-0a87-49a0-9e68-adc04eee5eb3/Lido-Invoice-AG-00006.pdf""}]",Tooling,6100 - Base Compensation,,,,
5775,DAI,0x01f5725123e80643bDFF2f29fEcF53FD84e060B2,"[{""name"":""invoice 9.pdf"",""url"":""https://utopia-receipt-upload.s3.us-west-1.amazonaws.com/next-s3-uploads/8ccab796-bccc-4b28-9216-def4bf707462/invoice-9.pdf""}]",Tooling,6100 - Base Compensation,,,,
165,DAI,0x01f5725123e80643bDFF2f29fEcF53FD84e060B2,"[{""name"":""invoice 10.pdf"",""url"":""https://utopia-receipt-upload.s3.us-west-1.amazonaws.com/next-s3-uploads/177f3a3a-6bea-48bd-a34e-78d85efa034f/invoice-10.pdf""}]",Tooling,,6370 - Employee - Miscellaneous Expense,,,
7334.871565,DAI,0x0A069ddCE7Fcf28942027Bede5AD0988335a7e95,"[{""name"":""Argo-Technology-Consulting-March (1).pdf"",""url"":""https://utopia-receipt-upload.s3.us-west-1.amazonaws.com/next-s3-uploads/758c93f6-7b1a-48f3-a94b-58be689a7b6e/Argo-Technology-Consulting-March-(1).pdf""}]",Tooling,6100 - Base Compensation,,,,
7334.871565,DAI,0x0A069ddCE7Fcf28942027Bede5AD0988335a7e95,"[{""name"":""Argo-Technology-Consulting-April.pdf"",""url"":""https://utopia-receipt-upload.s3.us-west-1.amazonaws.com/next-s3-uploads/721d92ce-b27d-4d1b-9e63-68c19e6143e9/Argo-Technology-Consulting-April.pdf""}]",Tooling,6100 - Base Compensation,,,,
80.06409131,DAI,0xD4B6cf381f0bb13413F63d8bB72A7a8E04512C56,"[{""name"":""Apr_Invoice.pdf"",""url"":""https://utopia-receipt-upload.s3.us-west-1.amazonaws.com/next-s3-uploads/4cca60fd-0a57-48ba-b0e1-c095e7c4c0ed/Apr_Invoice.pdf""},{""name"":""Space_Apr.pdf"",""url"":""https://utopia-receipt-upload.s3.us-west-1.amazonaws.com/next-s3-uploads/96d4b67e-00ce-4d7f-9e49-3b76677395d4/Space_Apr.pdf""}]",Tooling,,6370 - Employee - Miscellaneous Expense,,,
6505.207419,DAI,0x45752e75731E1C3Ff1B2ed3D269CB658bA49C9DC,"[{""name"":""faktura-invoice-04-04-2023-e.pdf"",""url"":""https://utopia-receipt-upload.s3.us-west-1.amazonaws.com/next-s3-uploads/90461c17-0397-431c-9321-288354d098ea/faktura-invoice-04-04-2023-e.pdf""}]",User Interface,6100 - Base Compensation,,,,
8000,DAI,0x25C9bFD35Bdd2019E500279401aaD4995a18169A,"[{""name"":""Lido Invoice 2023 - Feb.pdf"",""url"":""https://utopia-receipt-upload.s3.us-west-1.amazonaws.com/next-s3-uploads/350e1c3b-bd3b-4c4f-8262-8c37be37740d/Lido-Invoice-2023---Feb.pdf""}]",Lido on Eth Protocol Eng,6100 - Base Compensation,,,,
